Fecha,Semana,Provincia,Distrito,Clima,Pluvio_Min,Pluvio_Max,Nubosidad,Presión,Viento_Min,Viento_Max,Temp_Min,Temp_Max,Punto_Rocío
2020-01-01,1,CALLAO,BELLAVISTA,Niebla,0.0,0.0,1.0,1012.0,4.0,13.0,19.0,22.0,19.0
2020-01-01,1,CALLAO,CALLAO,Niebla,0.0,0.0,1.0,1012.0,4.0,12.0,19.0,22.0,19.0
2020-01-01,1,CALLAO,CARMEN DE LA LEGUA REYNOSO,Niebla,0.0,0.0,0.7,1011.0,3.0,12.0,19.0,23.0,19.0
2020-01-01,1,CALLAO,LA PERLA,Niebla,0.0,0.0,1.0,1012.0,4.0,13.0,19.0,22.0,19.0
2020-01-01,1,CALLAO,LA PUNTA,Niebla,0.0,0.0,0.7,1012.0,5.0,13.0,19.0,22.0,19.0
2020-01-01,1,CALLAO,MI PERU,Niebla,0.0,0.0,1.0,1012.0,3.0,10.0,19.0,24.0,18.0
2020-01-01,1,CALLAO,VENTANILLA,Despejado,0.0,0.0,0.7,1012.0,4.0,11.0,19.0,23.0,19.0
2020-01-01,1,LIMA,ANCON,Niebla,0.0,0.0,0.8,1012.0,3.0,11.0,18.0,24.0,17.0
2020-01-01,1,LIMA,ATE,Niebla,0.0,0.0,0.9,1015.0,4.0,13.0,18.0,24.0,19.0
2020-01-01,1,LIMA,BARRANCO,Niebla,0.0,0.0,0.8,1012.0,4.0,12.0,19.0,23.0,19.0
2020-01-01,1,LIMA,BREÑA,Niebla,0.0,0.0,,1013.0,3.0,12.0,19.0,24.0,18.0
2020-01-01,1,LIMA,CARABAYLLO,Niebla,0.0,0.0,0.9,1016.0,2.0,7.0,19.0,25.0,17.0
2020-01-01,1,LIMA,CHACLACAYO,Niebla,0.0,0.0,1.0,1013.0,6.0,11.0,17.75,22.0,18.0
2020-01-01,1,LIMA,CHORRILLOS,Niebla,0.0,0.0,1.0,1013.0,4.0,12.0,19.0,22.0,19.0
2020-01-01,1,LIMA,CIENEGUILLA,Niebla,0.0,0.0,1.0,1014.0,5.0,11.0,18.0,24.0,18.0
2020-01-01,1,LIMA,COMAS,Niebla,0.0,0.0,0.7,1014.0,3.0,10.0,19.0,25.0,18.0
2020-01-01,1,LIMA,EL AGUSTINO,Niebla,0.0,0.0,0.9,1014.0,2.0,11.0,19.0,25.0,19.0
2020-01-01,1,LIMA,INDEPENDENCIA,Niebla,0.0,0.0,0.9,1011.0,3.0,11.0,19.0,24.0,18.0
2020-01-01,1,LIMA,JESUS MARIA,Niebla,0.0,0.0,,,3.0,12.0,19.0,23.0,18.0
2020-01-01,1,LIMA,LA MOLINA,Niebla,0.0,0.0,1.0,1012.0,3.0,12.0,19.0,24.0,18.0
2020-01-01,1,LIMA,LA VICTORIA,Niebla,0.0,0.0,,1011.0,2.0,12.0,19.0,24.0,18.0
2020-01-01,1,LIMA,LIMA,Niebla,0.0,0.0,0.7,1011.0,3.0,12.0,19.0,24.0,18.0
2020-01-01,1,LIMA,LINCE,Niebla,0.0,0.0,1.0,1013.0,3.0,12.0,19.0,23.0,19.0
2020-01-01,1,LIMA,LOS OLIVOS,Despejado,0.0,0.0,0.7,1012.0,3.0,11.0,19.0,24.0,18.0
2020-01-01,1,LIMA,LURIGANCHO,Niebla,0.0,0.0,,1016.0,6.0,12.0,17.0,22.0,19.0
2020-01-01,1,LIMA,LURIN,Niebla,0.0,0.0,0.9,1015.0,4.0,11.0,19.0,24.0,19.0
2020-01-01,1,LIMA,MAGDALENA DEL MAR,Niebla,0.0,0.0,,1012.0,4.0,12.0,19.0,23.0,19.0
2020-01-01,1,LIMA,MIRAFLORES,Despejado,0.0,0.0,1.0,1013.0,3.0,12.0,19.0,23.0,19.0
2020-01-01,1,LIMA,PACHACAMAC,Niebla,0.0,0.0,0.9,1015.0,4.0,11.0,19.0,24.0,17.0
2020-01-01,1,LIMA,PUCUSANA,Niebla,0.0,0.0,1.0,1013.0,4.0,11.0,19.0,23.0,18.0
2020-01-01,1,LIMA,PUEBLO LIBRE,Niebla,0.0,0.0,0.9,1014.0,3.0,12.0,19.0,23.0,19.0
2020-01-01,1,LIMA,PUENTE PIEDRA,Despejado,0.0,0.0,,1013.0,3.0,10.0,19.0,24.0,18.0
2020-01-01,1,LIMA,PUNTA HERMOSA,Niebla,0.0,0.0,0.8,1015.0,3.0,10.0,20.0,25.0,19.0
2020-01-01,1,LIMA,PUNTA NEGRA,Niebla,0.0,0.1,1.0,1012.0,4.0,9.0,19.0,24.0,18.0
2020-01-01,1,LIMA,RIMAC,Niebla,0.0,0.0,0.7,1011.0,2.0,11.0,19.0,25.0,19.0
2020-01-01,1,LIMA,SAN BARTOLO,Niebla,0.0,0.0,0.8,1013.0,4.0,10.0,19.0,24.0,18.0
2020-01-01,1,LIMA,SAN BORJA,Niebla,0.0,0.0,0.9,1014.0,3.0,11.0,19.0,24.0,19.0
2020-01-01,1,LIMA,SAN ISIDRO,Niebla,0.0,0.0,0.7,1013.0,3.0,12.0,19.0,23.0,19.0
2020-01-01,1,LIMA,SAN JUAN DE LURIGANCHO,Niebla,0.0,0.0,1.0,1011.0,2.0,11.0,19.0,25.0,16.0
2020-01-01,1,LIMA,SAN JUAN DE MIRAFLORES,Niebla,0.0,0.0,1.0,1011.0,3.0,12.0,19.0,23.0,19.0
2020-01-01,1,LIMA,SAN LUIS,Niebla,0.0,0.0,0.6,1013.0,2.0,11.0,22.0,25.0,18.0
2020-01-01,1,LIMA,SAN MARTIN DE PORRES,Despejado,0.0,0.0,0.7,1012.0,3.0,12.0,19.0,23.0,19.0
2020-01-01,1,LIMA,SAN MIGUEL,Niebla,0.0,0.0,0.7,1012.0,4.0,13.0,19.0,23.0,19.0
2020-01-01,1,LIMA,SANTA ANITA,Niebla,0.0,0.0,0.8,1011.0,2.0,12.0,19.0,25.0,18.0
2020-01-01,1,LIMA,SANTA MARIA DEL MAR,Niebla,0.0,0.0,0.7,1014.0,4.0,11.0,19.0,24.0,18.0
2020-01-01,1,LIMA,SANTA ROSA,Niebla,0.0,0.0,0.5,1014.0,3.0,10.0,19.0,24.0,19.0
2020-01-01,1,LIMA,SANTIAGO DE SURCO,Niebla,0.0,0.0,,1013.0,3.0,12.0,19.0,23.0,18.0
2020-01-01,1,LIMA,SURQUILLO,Niebla,0.0,0.0,,1013.0,3.0,12.0,19.0,24.0,18.0
2020-01-01,1,LIMA,VILLA EL SALVADOR,Niebla,0.0,0.0,0.9,1013.0,4.0,12.0,19.0,22.0,18.0
2020-01-01,1,LIMA,VILLA MARIA DEL TRIUNFO,Niebla,0.0,0.0,0.7,1014.0,3.0,12.0,19.0,23.0,19.0
2020-01-08,2,CALLAO,BELLAVISTA,Despejado,0.0,0.0,0.7,1013.0,8.0,16.0,19.0,21.0,19.0
2020-01-08,2,CALLAO,CALLAO,Despejado,0.0,0.0,0.7,1013.0,7.0,16.0,20.0,21.0,19.0
2020-01-08,2,CALLAO,CARMEN DE LA LEGUA REYNOSO,Despejado,0.0,0.0,0.6,1013.0,6.0,16.0,20.0,22.0,19.0
2020-01-08,2,CALLAO,LA PERLA,Despejado,0.0,0.0,0.6,1013.0,8.0,16.0,20.0,21.0,19.0
2020-01-08,2,CALLAO,LA PUNTA,Despejado,0.0,0.0,0.2,1013.0,9.0,16.0,20.0,21.0,18.0
2020-01-08,2,CALLAO,MI PERU,Despejado,0.0,0.0,0.3,1015.0,6.0,16.0,19.0,24.0,18.0
2020-01-08,2,CALLAO,VENTANILLA,Despejado,0.0,0.0,0.5,1012.0,6.0,17.0,20.0,22.0,19.0
2020-01-08,2,LIMA,ANCON,Niebla,0.0,0.0,0.5,1013.0,5.0,15.0,18.0,25.0,17.0
2020-01-08,2,LIMA,ATE,Niebla,0.0,0.0,0.9,1015.0,4.0,15.0,17.0,24.0,17.0
2020-01-08,2,LIMA,BARRANCO,Despejado,0.0,0.0,0.7,1013.0,6.0,14.0,20.0,24.0,19.0
2020-01-08,2,LIMA,BREÑA,Niebla,0.0,0.0,,1014.0,5.0,14.0,19.0,24.0,18.0
2020-01-08,2,LIMA,CARABAYLLO,Despejado,0.0,0.0,0.7,1015.0,4.0,15.0,18.0,25.0,18.0
2020-01-08,2,LIMA,CHACLACAYO,Niebla,0.0,0.0,0.8,1014.0,4.0,16.0,16.0,23.0,18.0
2020-01-08,2,LIMA,CHORRILLOS,Despejado,0.0,0.0,0.8,1014.0,7.0,14.0,21.0,23.0,19.0
2020-01-08,2,LIMA,CIENEGUILLA,Niebla,0.0,0.0,0.8,1014.0,3.0,14.0,16.0,24.0,17.0
2020-01-08,2,LIMA,COMAS,Despejado,0.0,0.0,0.3,1016.0,4.0,14.0,19.0,25.0,19.0
2020-01-08,2,LIMA,EL AGUSTINO,Niebla,0.0,0.0,1.0,1014.0,2.0,13.0,18.0,26.0,18.0
2020-01-08,2,LIMA,INDEPENDENCIA,Despejado,0.0,0.0,0.8,1012.0,4.0,15.0,19.0,24.0,18.0
2020-01-08,2,LIMA,JESUS MARIA,Niebla,0.0,0.0,,,5.0,14.0,19.0,24.0,18.0
2020-01-08,2,LIMA,LA MOLINA,Niebla,0.0,0.0,1.0,1014.0,4.0,14.0,18.0,24.0,18.0
2020-01-08,2,LIMA,LA VICTORIA,Niebla,0.0,0.0,,1012.0,3.0,14.0,19.5,25.0,18.0
2020-01-08,2,LIMA,LIMA,Niebla,0.0,0.0,0.6,1012.0,4.0,14.0,19.0,24.0,17.0
2020-01-08,2,LIMA,LINCE,Niebla,0.0,0.0,0.8,1014.0,5.0,14.0,20.0,24.0,19.0
2020-01-08,2,LIMA,LOS OLIVOS,Despejado,0.0,0.0,0.5,1013.0,5.0,16.0,19.0,23.0,17.0
2020-01-08,2,LIMA,LURIGANCHO,Niebla,0.0,0.0,,1015.0,4.0,17.0,17.0,23.0,18.0
2020-01-08,2,LIMA,LURIN,Niebla,0.0,0.0,0.8,1015.0,5.0,13.0,19.0,23.0,18.0
2020-01-08,2,LIMA,MAGDALENA DEL MAR,Despejado,0.0,0.0,,1013.0,6.0,15.0,19.0,23.0,18.0
2020-01-08,2,LIMA,MIRAFLORES,Despejado,0.0,0.0,0.8,1014.0,5.0,14.0,20.0,24.0,20.0
2020-01-08,2,LIMA,PACHACAMAC,Niebla,0.0,0.0,0.9,1015.0,5.0,14.0,19.0,24.0,18.0
2020-01-08,2,LIMA,PUCUSANA,Niebla,0.0,0.0,0.6,1016.0,5.0,12.0,20.0,23.0,19.0
